"case_id","case_title","court_type","jurisdiction","case_year","resolution_date","category_of_case","case_keywords","number_of_evidences","outcome_in_favor_of","outcome_in_court","main_issue"
"183","Jinsasan Distributors vs The Commercial Tax Officer (Ct)","Madras High Court","India","2012","November 22, 2012","Tax","Tamil Nadu Value Added Tax Act, 2006, Input Tax Credit, Retrospective Cancellation","Medium","Against Respondent","Petitions allowed","Whether the retrospective cancellation of the registration of a selling dealer entitles the tax authorities to recover input tax credit (ITC) availed by the purchasing dealer."
"184","M/S. National Aluminum Company Limited vs Deputy Commissioner Of Commercial ...","Orissa High Court","India","2012","October 9, 2012","Tax","Orissa Value Added Tax Act, Input Tax Credit, Captive Power Plant","Medium","Against Respondent","Petitions allowed","Whether input tax credit can be claimed on inputs used in a captive power plant supplying electricity to a manufacturing process"
"185","Parveen Begum And Anr vs Appellate Authority And Anr","Delhi High Court","India","2012","May 15, 2012","Healthcare","Transplantation of Human Organs Act, 1994, Organ Donation, Authorisation Committee","Medium","Against Respondent","Petition allowed","Whether the Authorisation Committee can reject a kidney transplant application based on insufficient evidence and without considering the genuine relationship between the donor and recipient"
"186","Steel Authority Of India Ltd. vs Salzgitter Mannesmann International ...","Delhi High Court","India","2012","April 18, 2012","Commercial Law","Arbitration and Conciliation Act, 1996, Contractual Disputes, Engineering Projects","Medium","Respondent","Petition dismissed","Challenge to an arbitral award regarding a contract for the upgradation of an electric resistance welded pipe plant."
"187","Union Of India & Anr vs Hotel Excelsior Ltd & Anr","Delhi High Court","India","2012","September 11, 2012","Property Law","Leasehold Rights, Freehold Conversion, Government Land","Medium","Appellant (Union of India)","Appeals allowed","Whether lessees of land underneath disinvested hotels have a right to convert the leasehold rights into freehold."
"188","Rukmani vs The Deputy Commercial Tax Officer I","Madras High Court","India","2012","October 8, 2012","Tax","Tamil Nadu General Sales Tax Act, Bona Fide Purchaser, Distraint Order","Medium","Against Respondent","Petition allowed","Whether a bona fide purchaser of property is liable for the outstanding tax dues of the previous owner."
"189","M/S Haldiram Manufacturing Company ... vs M/S Dlf Commercial Complexes Limited","High Court","Delhi","2012","2012-04-16 00:00:00","Civil","Arbitration, Contract, Real Estate","Medium","Respondent","Application dismissed","Dispute resolution through arbitration"
"190","Minnie Khadim Ali Kuhn vs State Nct Of Delhi & Ors.","High Court","Delhi","2012","2012-05-08 00:00:00","Criminal","Narcotic Drugs and Psychotropic Substances Act, Arrest, Bail","Medium","Against Respondent","Writ petition allowed","Lawful detention and bail"
"191","Godrej Consumer Products Limited vs Initiative Media Advertising And ...","High Court","Bombay","2012","2012-07-19 00:00:00","Civil","Trademark, Copyright, Intellectual Property","Medium","Plaintiff","Interim relief granted","Disparagement of product and trademark infringement"
"192","Abdul Mateen vs Uoi And Anr","High Court","Delhi","2012","2012-11-06 00:00:00","Criminal","Narcotic Drugs and Psychotropic Substances Act, Arrest, Bail","Medium","Respondent","Writ petition dismissed","Interpretation of NDPS Act and quantification of drug quantity"
"193","New Delhi Television Limited vs Icc Development (International) ...","High Court","Delhi","2012","2012-10-11 00:00:00","Civil","Copyright, Intellectual Property, Media Law","Medium","Respondent","Appeal dismissed","Copyright infringement and fair use of copyrighted material"
"194","Il&Fs Engineering And Construction ... vs Wardha Power Company Limited","High Court","Andhra Pradesh","2012","2012-10-17 00:00:00","Corporate Law","Companies Act, Reduction of Share Capital, Scheme of Arrangement","Medium","Against Respondent","Scheme of arrangement sanctioned","Reduction of share capital and adjustment of losses"
"195","Hindustan Petroleum Corporation Ltd. vs The Municipal Corporation Of Greater Mumbai","High Court","Bombay","2012","2012-04-12 00:00:00","Civil","Environmental Law, Urban Planning, Public Interest Litigation","High","Against Respondent","Permissions granted to developer quashed","Security and environmental concerns in urban development"
"196","Bareja Automobiles Pvt. Ltd vs State Of Haryana And Others","High Court","Punjab and Haryana","2012","2012-08-17 00:00:00","Public Interest Litigation","Land Allotment, Urban Development Authority, Institutional Plots","Medium","Respondent ","Upheld allotment of institutional plots","Whether the selection process for allotment of institutional plots by Haryana Urban Development Authority was fair and legal"
"197","M/S.Sundaram Industries Limited vs The State Of Tamil Nadu","High Court","Madras","2012","2012-03-21 00:00:00","Tax Law","Sales Tax, Tax Exemption, Government Orders","Medium","Against Respondent","Writ appeals allowed, Government order withdrawing tax exemption deemed invalid","Validity of retrospective withdrawal of tax exemption"
"198","M/S.M.Amurtham Petroleum Agency vs The Additional Deputy Commercial Tax Officer","High Court","Madras","2012","2012-09-14 00:00:00","Tax Law","Central Sales Tax Act, C Form, Tax Exemption","Medium","Respondent","Writ appeals and petitions dismissed","Entitlement to 'C' Forms for dealers with tax default"
"199","Narcotics Control Bureau Mumbai Zonal ... vs Anuj Keshwani S/O. Sanjay Keshwani And ...","High Court","Bombay","2021","2021-11-29 00:00:00","NDPS","LSD, Blotter paper, Weight, Mixture, NDPS Act","Medium","Respondent","Allowed retesting of LSD to exclude the weight of blotter paper","Whether the weight of blotter paper containing LSD should be included for determining the quantity of the drug"
"200","Ramesh S/O. Satappa Khodanpur vs The State Of Karnataka & Others","High Court","Karnataka","2021","2021-12-22 00:00:00","Land Acquisition","BRTS project, Road widening, Land compensation, Layout plan, Road margin area","Medium","Against Respondent","Writ petitions allowed. Landowners entitled to compensation for land acquired for BRTS project.","Whether Land Acquisition Officer can deny compensation for land acquired for BRTS project on the grounds that the land was earmarked as road margin area in the layout plan."
"201","Anita Garg & Ors. vs State Bank Of India","Supreme Court","India","2021","2021-09-07 00:00:00","Civil","Debt Recovery Tribunal, Recovery of Debts Due to Banks and Financial Institutions Act, 1993, Written Statement, Counterclaim, Limitation","Medium","Respondent","Petition dismissed","Whether the petitioners were justified in seeking a longer period to file a written statement and counterclaim due to delayed service of documents"
"202","Xcellance Medical Technologies ... vs Hll Infratech Services Ltd. & Anr.","High Court","India","2021","2021-10-05 00:00:00","Civil","Tender, Public Procurement, Technical Specifications, Medical Devices","Medium","Against Respondent","Petition allowed, Respondent directed to open and evaluate the financial bid of the Petitioner","Whether the Respondent No.1 was justified in rejecting the Petitioner's technical bid based on the interpretation of the technical specifications"
"203","M/S Rupin Associates vs Axis Bank Ltd. & Ors.","High Court","India","2021","2021-08-31 00:00:00","Civil","Commercial Court Act, 2015, Revision Petition, Interlocutory Order, Bank Guarantee, Statement of Truth","Medium","Respondent","Petition dismissed","Maintainability of Revision Petition under the Commercial Courts Act, 2015, and the issue of release of funds deposited with the bank."
"204","Lord Sai Maa Pvt Ltd Thr Director ... vs Hotel Goradias Pvt. Ltd Thr Its Director ...","High Court","India","2021","2021-05-07 00:00:00","Civil","Commercial Courts Act, 2015, Leave and License Agreement, Interim Injunction, Possession of Property","Medium","Respondent","Modification of the trial court's order regarding interim mandatory injunction","Whether the trial court was justified in granting interim mandatory injunction in favor of the respondent"
"205","Shanti Subba And Ors vs Jashang Subba","High Court","India","2021","2021-09-14 00:00:00","Civil","Code of Civil Procedure, 1908, Order VII Rule 11, Order VIII Rule 1, Written Statement, Extension of Time","Medium","Against Respondent","Impugned order set aside, Petitioners allowed to file Written Statements","Whether the trial court was justified in disallowing the Petitioners from filing their Written Statements"
"206","Daya Nand Pushpa Devi Charitable Trust ... vs Additional Commissioner Of Income Tax ...","High Court","India","2021","2021-06-23 00:00:00","Tax","Income Tax Act, 1961, Charitable Institution, Hostel Income, Section 11, Section 12A","Medium","Against Respondent","Appeal allowed, Matter remitted back to Assessing Officer","Whether hostel income of a charitable institution engaged in imparting education is taxable income under Section 11(4A) of the Income Tax Act, 1961"
"207","Gujarat State Warehousing Corporation vs Divine Developers","High Court","India","2021","2021-12-24 00:00:00","Civil","Commercial Court Act, 2015, Jurisdiction, Order VII Rule 11(d), CPC, Fire Damage","Medium","Respondent","Petition dismissed","Whether the Commercial Court had jurisdiction to try the suit filed by the plaintiff"
"208","M/S A.G. Construction Co vs Food Corporation Of India And Others","High Court","India","2021","2021-02-10 00:00:00","Civil","Tender, Public Procurement, Technical Specifications, Medical Devices","Medium","Respondent","Petition dismissed","Whether an individual's past experience in a partnership firm can be considered for tender eligibility"
"209","Rohit Joshi Alias Baman vs State Of Punjab","High Court","India","2021","2021-10-12 00:00:00","Criminal","NDPS Act, Arms Act, Bail","Medium","Against Respondent","Bail granted","Whether the petitioner is entitled to bail considering the nature of the offence and the evidence on record"
"210","Luxe Passion Private Limited vs Freedom Roost","High Court","India","2021","2021-01-12 00:00:00","Civil","Arbitration Act, Section 9, Interim Injunction, Lease Agreement, Business Operations","Medium","Against Respondent","Appeal allowed, Interim injunction granted","Whether the appellant was entitled to an interim injunction restraining the respondent from accessing the premises and using the licenses"
"211","Larsen And Toubro Limited vs Geodesic Techniques Private Limited","High Court","India","2021","2021-10-21 00:00:00","Civil","Arbitration Act, Section 34, Arbitral Award, Challenge to Award","Medium","Against Respondent","Appeal allowed, Matter remitted back to Commercial Court","Whether the Commercial Court properly considered the grounds raised in the objection to the arbitral award under Section 34 of the Arbitration Act"
"212","Swadha Builders Pvt. Ltd. & Ors vs Nabarun Bhattacharjee & Ors","High Court","India","2021","2021-01-13 00:00:00","Civil","Commercial Courts Act, 2015, Transfer of Suit, Commercial Dispute","Medium","Against Respondent","Application allowed, Suit transferred to Commercial Division","Whether the suit involved a commercial dispute and should be transferred to the Commercial Division"
"213","Mintergraph Systems Pvt. Ltd. vs Hitachi Systems Micro Clinic Private ...","High Court","India","2021","2021-10-28 00:00:00","Civil","Commercial Courts Act, 2015, Pre-Litigation Mediation, Section 12A","Medium","","Case adjourned for mediation","Whether the plaintiff is exempt from mandatory pre-litigation mediation under Section 12A of the Commercial Courts Act, 2015"
"214","Intiyaz Sheikh vs Puma Se","High Court","India","2021","2021-08-27 00:00:00","Civil","Commercial Courts Act, 2015, Revision Petition, Order VIII Rule 1, CPC, Condonation of Delay","Medium","Against Respondent","Petition admitted","Maintainability of Revision Petition under Article 227 of the Constitution of India against the order of the Commercial Court"
"215","M/S J S Sharma & Sons & Ors vs Shiv Devi Meena","High Court","India","2021","2021-02-05 00:00:00","Civil","Delhi Rent Control Act, 1958, Eviction Petition, Leave to Defend","Medium","Respondent","Petition dismissed","Whether the petitioner was entitled to leave to defend the eviction petition filed by the respondent under Section 14D of the Delhi Rent Control Act, 1958"
"216","The Kolkata Municipal Corporation vs Jain Infraprojects Limited","High Court","India","2021","2021-02-22 00:00:00","Civil","Arbitration and Conciliation Act, 1996, Section 34, Limitation Period","Medium","Respondent","Petition dismissed","Whether the petitioner's application under Section 34 of the Arbitration Act was filed within the prescribed limitation period"
"217","Machinenfabrik Rieter Ag & Anr. vs Tex Tech Industries (India) Private ...","High Court","India","2021","2021-04-30 00:00:00","Civil","Code of Civil Procedure, Order 7 Rule 10, Territorial Jurisdiction, Trademark Infringement","Medium","Against respondent","Application dismissed","Whether the present suit can be filed in the court of Delhi based on the facts and circumstances of the case"
"218","M/S Tirupati Construction vs The State Of Maharashtra And Others","High Court","India","2021","2021-02-05 00:00:00","Civil","Tender, Public Procurement, Government Contracts, Contractual Obligations","Medium","Respondent","Petition dismissed","Whether the petitioner was entitled to the work order despite failing to fulfill the tender conditions, specifically the deadline for submitting additional performance security"
"219","Harishankar Sahu vs State Of Chhattisgarh","High Court","Chhattisgarh","2021","2021-10-29 00:00:00","Criminal","NDPS Act, Bail","Medium","respondent","Bail granted","Whether the petitioner is entitled to bail considering the nature of the offence and the evidence on record"
"220","Sks Power Generation (Chhattisgarsh) ... vs Canara Bank","High Court","India","2021","2021-08-11 00:00:00","Civil","Commercial Courts Act, 2015, Bank Guarantees, Summary Suit, Interim Injunction","Medium","Against respondent","Summary Suit decreed in favour of the plaintiff","Whether the defendant bank was justified in refusing to honour the bank guarantees issued in favour of the plaintiff"
"221","M/S. Dhanbad Fuels Ltd vs Union Of India & Ors","High Court","India","2021","2021-02-22 00:00:00","Civil","Commercial Courts Act, 2015, Pre-Institution Mediation, Section 12A, Rejection of Plaint","Medium","Respondent","Revisional application dismissed","Whether the suit should be rejected for non-compliance with Section 12A of the Commercial Courts Act, 2015, which mandates pre-institution mediation"
"222","Maan Pharmaceuticals Ltd. vs Employees State Insurance Corporation","High Court","India","2021","2021-08-17 00:00:00","Civil","Public Procurement, E-Tender, Bank Guarantee, Commercial Bank","Medium","against respondent","Writ petition allowed, Respondent directed to consider the bid of the Petitioner","Whether a bank guarantee issued by a Multi-State Cooperative Bank is acceptable as a ""Bank Guarantee from a Commercial Bank"" as per the tender terms and conditions"
"223","Apnaghar Builders Pvt. Ltd vs Intense Fitness And Spa Pvt. Ltd.","High Court","India","2021","2021-08-24 00:00:00","Civil","Commercial Courts Act, 2015, Commercial Dispute, Jurisdiction, Rejection of Plaint","Medium","against respondent","Application under Order VII Rule 11 CPC dismissed","Whether the suit was maintainable as an ordinary civil suit or should have been filed as a commercial suit under the Commercial Courts Act, 2015"
"224","Shri Dev Raj vs Smt. Saroj Singhal (Deceased Through ...","High Court","India","2021","2021-12-22 00:00:00","Civil","Delhi Rent Control Act, 1958, Eviction Petition, Change of User, Misuse of Property","Medium","Respondent","Petition dismissed","Whether the tenant's change of use of the rented property without the landlord's consent justifies eviction under Section 14(1)(c) of the Delhi Rent Control Act, 1958"
"225","M/S Glasswood Realty Pvt Ltd And Ors vs Chadravilas Kailashkumar Kothari","High Court","India","2021","2021-12-06 00:00:00","Civil","Commercial Courts Act, 2015, Commercial Dispute, Jurisdiction","Medium","against respondent","Writ petition allowed, Impugned order set aside","Whether the dispute between the parties constitutes a 'commercial dispute' under the Commercial Courts Act, 2015"
"226","Delhi Airport Metro Express Pvt. Ltd. vs Delhi Metro Rail Corporation Ltd.","Supreme Court of India","Supreme Court","2021","06-13-2021","Contractual Dispute, Arbitration","Concession Agreement, Termination, Defects, Arbitration Award","High ","Against Respondent","Supreme Court reversed the High Court's decision and upheld the Arbitral Tribunal's award.","Validity of the termination notice issued by DAMEPL and the consequent entitlement to termination payment."
"227","M/S N.N. Global Mercantile Private ... vs M/S Indo Unique Flame Ltd.","Supreme Court of India","Supreme Court","2021","06-14-2021","Contractual Dispute, Arbitration","Stamp Act, Arbitration Agreement, Separability Doctrine","High ","against respondent","Supreme Court set aside the High Court's order and directed the impounding of the unstamped work order.","Enforceability of an arbitration agreement in an unstamped contract."
"228","Ajay Kumar @ Nannu vs State Of Punjab","Punjab and Haryana High Court","High Court","2021","06-15-2021","Criminal Law","NDPS Act, Bail, Narcotic Drugs","High ","Against Respondent","Petitioners granted regular bail","Grant of regular bail to the petitioners accused under the NDPS Act."
"229","Government Of Maharashtra, (Water ... vs M/S Borse Brothers Engineers And ...","Supreme Court of India","Supreme Court","2021","06-16-2021","Contractual Dispute, Arbitration","Limitation Period, Condonation of Delay","Low","Respondent","Supreme Court dismissed the appeals filed by the Government of Maharashtra and the Union of India.","Condonation of delay in filing appeals under Section 37 of the Arbitration and Conciliation Act, 1996."
"230","Arcelor Mittal Nippon Steel India Ltd. vs Essar Bulk Terminal Ltd.","Supreme Court of India","Supreme Court","2021","06-17-2021","Contractual Dispute, Arbitration","Section 9 and 17 of the Arbitration Act, Interim Relief","High","Against Respondent","Supreme Court allowed the appeal in part.","Power of the Court to entertain an application under Section 9(1) of the Arbitration Act after the constitution of an Arbitral Tribunal."
"231","The Vice Chairman And Managing ... vs Shishir Realty Pvt Ltd .","Supreme Court of India","Supreme Court","2021","06-18-2021","Contractual Dispute, Administrative Law","Cancellation of Lease, Change of Land Use, Government Contracts","Low","Respondent","Supreme Court dismissed the appeals filed by the CIDCO.","Validity of the cancellation of lease deeds by the CIDCO and the propriety of the change of land use and subdivision of the plot."
"232","Sudhir Kumar @ S. Baliyan vs Vinay Kumar G.B.","Supreme Court of India","Supreme Court","2021","06-19-2021","Civil Procedure","Order VII Rule 14 (3) of CPC, Additional Documents, Commercial Courts Act","High ","Against Respondent","Supreme Court partly allowed the appeal.","Power of the Court to allow additional documents under Order VII Rule 14 (3) of CPC in commercial suits."
"233","The Assistant Commissioner Of State Tax vs M/S Commercial Steel Company","Supreme Court of India","Supreme Court","2021","06-20-2021","Tax Law","CGST Act, SGST Act, Writ Petition","High","Against Respondent","Supreme Court allowed the appeal and set aside the High Court's order.","Maintainability of writ petition under Article 226 of the Constitution when an alternative statutory remedy is available."
"234","Ganga Taro Vazirani vs Deepak Raheja","Delhi High Court","High Court","2021","06-21-2021","Civil Law","Summons for Judgment, Negotiable Instruments Act, Pre-Institution Mediation","High","Against Respondent","The court granted the plaintiff leave to defend the suit on the condition of depositing the claimed amount.","The applicability of pre-institution mediation under Section 12A of the Commercial Courts Act to the present case."
"235","Gemini Bay Transcription Pvt Ltd vs Integrated Sales Service Limited And ...","Supreme Court of India","Supreme Court","2021","06-22-2021","Contractual Dispute, Arbitration","Foreign Award, Enforcement of Foreign Award, Public Policy","Low","Respondent","Supreme Court dismissed the appeals.","Enforceability of foreign arbitral awards, public policy exception, and scope of judicial review."
"236","Sepco Electric Power Construction ... vs Power Mech Projects Ltd.","Supreme Court of India","Supreme Court","2021","06-23-2021","Contractual Dispute, Arbitration","Bank Guarantee, Security, Arbitral Award","High","Against Respondent","The appeal was partly allowed, with a disagreement between the judges on the requirement for a specific type of bank guarantee.","Whether a foreign bank guarantee from a Scheduled Bank is acceptable as security for an arbitration award."
"237","India Resurgence Arc Private Limited vs M/S. Amit Metaliks Limited","Supreme Court of India","Supreme Court","2021","06-24-2021","Corporate Law, Insolvency and Bankruptcy Code","Resolution Plan, Operational Creditors, Fair and Equitable Treatment","Low","Respondent","Supreme Court dismissed the appeal.","Whether the resolution plan was fair and equitable to operational creditors."
"238","Deepak Raheja vs Ganga Taro Vazirani","Delhi High Court","High Court","2021","06-25-2021","Civil Law","Summons for Judgment, Negotiable Instruments Act, Pre-Institution Mediation","Low","","The Court ordered pre-institution mediation under Section 12A of the Commercial Courts Act, 2015.","Applicability of pre-institution mediation under Section 12A of the Commercial Courts Act, 2015."
"239","Valentine Maritime Ltd vs Kreuz Subsea Pte Ltd. And Another","Delhi High Court","High Court","2021","06-26-2021","Commercial Law, Arbitration and Conciliation Act","Interim Measures, Section 9 Arbitration Act, Garnishee Order","Low","Respondent","The Court dismissed the appeals filed by Valentine Maritime Ltd. and ONGC.","Whether the Single Judge could grant interim measures against ONGC, a non-party to the arbitration agreement, and whether the order to deposit funds was justified."
"240","Mohd Ahsan vs Customs","Delhi High Court","High Court","2021","06-27-2021","Criminal Law","NDPS Act, Bail, Narcotic Drugs","High","Against Respondent","The Court granted the petitioner interim bail for 90 days.","Interpretation of ""commercial quantity"" under the NDPS Act, considering the weight of the mixture containing the narcotic substance."
"241","Steel Authority Of India Ltd vs Sks Ispat And Power Ltd And 2 Ors","Bombay High Court","High Court","2021","06-28-2021","Commercial Law, Civil Procedure Code","Commercial Suits, Interim Applications, Procedural Requirements","High","","The Court issued directions regarding the procedure to be followed in commercial suits valued over Rs. 100 crores.","Procedural requirements, time limits, and filing norms for commercial suits valued over Rs. 100 crores."
"242","Kalpana Morparia vs Kaplavruksha Developers And 5 Ors","Bombay High Court","High Court","2021","06-29-2021","Real Estate, Construction Law","Project Completion, Court-Ordered Scheme, Stakeholder Interests","Low","Respondent","The Court approved a scheme for the completion of a stalled construction project, appointing a project management firm to oversee the project.","Completion of a stalled construction project, protection of homebuyers' interests, and appointment of a project management firm."
"243","Pasl Wind Solutions Private Limited vs Ge Power Conversion India Private ...","Supreme Court of India","Supreme Court","2021","06-30-2021","Commercial Law, Arbitration and Conciliation Act","Foreign Award, Seat of Arbitration, Enforceability","Low","Respondent","Supreme Court dismissed the appeal.","Enforceability of a foreign arbitral award made in a foreign seat chosen by Indian parties."
"244","Hamid Ali Khan (D) Thr. Lrs. vs State Of U.P.","Supreme Court of India","Supreme Court","2021","2021-01-07 00:00:00","Land Acquisition, Constitutional Law","Section 17(4) LA Act, Urgency Clause, Compensation","HIgh","Against Respondent","Supreme Court allowed the appeal and quashed the impugned notifications.","Whether the invocation of the urgency clause under Section 17(4) of the Land Acquisition Act, 1894 was justified in the absence of a genuine public purpose and adequate compensation."
"245","Bangalore Electricity Supply Company ... vs Es Solar Private Limited","Supreme Court of India","Supreme Court","2021","May 3, 2021","Energy Law, Contract Law","Power Purchase Agreement, Commissioning Date, Liquidated Damages","Low","Respondent","Supreme Court dismissed the appeals.","Interpretation of the term ""Scheduled Commissioning Date"" in a Power Purchase Agreement and the implication of delay in commissioning."
"246","Gurdev Singh vs The State Of Punjab","Supreme Court of India","Supreme Court","2021","2021-04-06 00:00:00","Criminal Law","NDPS Act, Sentence, Narcotic Drugs","Low","Respondent","Appeal dismissed.","Whether the sentence of 15 years imprisonment and a fine of Rs. 2 lakh for possession of a small quantity of heroin was excessive."
"247","Laxmi Polyfab Pvt. Ltd vs Eden Realty Ventures Pvt. Ltd. & Anr","Bombay High Court","High Court","2021","2021-04-07 00:00:00","Civil Law, Commercial Law","Commercial Courts Act, Jurisdiction, Transfer of Cases","Low","","The court clarified the application of Section 12A of the Commercial Courts Act, 2015 and ordered the transfer of certain cases to the Commercial Division.","Interpretation of Section 12A of the Commercial Courts Act, 2015 and the transfer of commercial disputes to the Commercial Division."
"248","M/S Fertico Marketing And Investment ... vs C.B.I.,Anti Corruption Branch Lucknow","Allahabad High Court","High Court","2021","2021-03-17 00:00:00","Criminal Law, Corruption","CBI Investigation, Criminal Conspiracy, Contract Breach","Medium","Respondent","Petition dismissed.","Legality of CBI investigation, nature of the case (civil or criminal), and fairness of the investigation."
"249","Aniket Sa Investments Llc vs Janapriya Engineers Syndicate Private ...","Delhi High Court","High Court","2021","2021-01-29 00:00:00","Civil Law, Commercial Law","Arbitration and Conciliation Act, Jurisdiction Clause, Seat of Arbitration","Medium","Against Respondent","Appeal Allowed.","Interpretation of conflicting jurisdiction clauses in an arbitration agreement."
"250","M/S National Highways Authority Of ... vs M/S Bhubaneswar Expressway Private ...","Delhi High Court","High Court","2021","2021-05-11 00:00:00","Civil Law, Commercial Law","Arbitration and Conciliation Act, Interim Relief, Section 9","Medium","Against Respondent","Appeal allowed, interim relief set aside.","Whether a court can grant a final relief under Section 9 of the Arbitration and Conciliation Act, 1996, in the nature of a termination payment, even if a case for urgent need is made out."
"251","Deepak Polymers Private Limited vs Anchor Investments Private Limited","Calcutta High Court","High Court","2021","2021-06-24 00:00:00","Civil Law, Commercial Law","Commercial Courts Act, Jurisdiction, Eviction Suit","Low","Against Respondent","Revisional applications allowed.","Whether a suit for eviction of immovable property used for commercial purposes falls under the jurisdiction of Commercial Courts."
"252","Shapoorji Pallonji And Co. Pvt. Ltd vs Rattan India Power Ltd & Anr.","Delhi High Court","High Court","2021","2021-04-07 00:00:00","Civil Law, Commercial Law","Arbitration and Conciliation Act, Appointment of Arbitrator, Corporate Veil Piercing","Medium","Against Respondent","Petition allowed, Arbitral Tribunal to be constituted.","Whether the corporate veil can be pierced to compel a parent company to participate in arbitration proceedings initiated against its subsidiary."
"253","Bvg India Ltd vs The State Of Maharashtra And Ors","Bombay High Court","High Court","2021","2021-03-19 00:00:00","Administrative Law, Contract Law","Public Procurement, Tender Process, Blacklisting","Low","Respondent","Petitions dismissed.","Validity of a pre-qualification criteria in a tender document that excludes contractors with unsatisfactory performance records."
"254","M/S Ok Play India Pvt Ltd vs M/S A P Distributors & Anr","Delhi High Court","High Court","2021","2021-10-25 00:00:00","Civil Procedure Code, Contempt of Court","Review Petition, Condonation of Delay","Low","Against Respondent","Review petition dismissed.","Propriety of filing a written statement with delay and without an application for condonation of delay."
"255","Virender Singh Alias Rinku vs State Of Punjab","Punjab and Haryana High Court","High Court","2021","2021-12-22 00:00:00","Criminal Law","NDPS Act, Bail, Recovery of Narcotic Substances","Low","Against Respondent","Bail granted.","Grant of bail in a case registered under the NDPS Act, considering the absence of recovery from the petitioner and other relevant factors."
"256","Ladymoon Towers Private Limited vs Mahendra Investment Advisors Private ...","Delhi High Court","High Court","2021","2021-08-13 00:00:00","Civil Law, Commercial Law","Commercial Courts Act, Jurisdiction, Commercial Dispute","Low","Against Respondent","Plaint returned to appropriate Bench.","Whether a dispute between two companies, one being a real estate company and the other an investment advisory firm, falls within the definition of ""commercial dispute"" under the Commercial Courts Act, 2015."
"257","Essar House Pvt. Ltd. vs Arcelor Mittal Nippon Steel India Ltd.","Delhi High Court","High Court","2021","2021-02-01 00:00:00","Civil Law, Commercial Law","Arbitration and Conciliation Act, Interim Relief, Security Deposit","Medium","Respondent","Appeal Dismissed","Power of the Court to grant interim relief under Section 9 of the Arbitration and Conciliation Act, 1996."
"258","Reckitt Benckiser India Private ... vs Hindustan Unilever Limited","Delhi High Court","High Court","2021","2021-11-09 00:00:00","Civil Law, Commercial Law","Trademark Infringement, Passing Off, Disparagement","High","Against Respondent","Interim injunction granted.","Whether the defendant's advertisements disparaged the plaintiff's product and infringed its trademark rights."
"259","Bharat Muddanna Shetty vs Ahuja Properties And Developers And 2 ...","Delhi High Court","High Court","2021","2021-07-13 00:00:00","Civil Law, Commercial Law","Commercial Courts Act, Jurisdiction, Summary Suit","Low","Against Respondent","Suit renumbered as a summary suit.","Whether the suit falls under the purview of the Commercial Courts Act, 2015 as a ""commercial dispute""."
"260","U.P. State Road Transport Corporation ... vs Ram Murti Mishra","Allahabad High Court","High Court","2021","2021-07-07 00:00:00","Civil Law, Commercial Law","Arbitration and Conciliation Act, Jurisdiction, Transfer of Case","Low","Against Respondent","Petition Dismissed","Whether the Court hearing an appeal under Section 34 of the Arbitration and Conciliation Act, 1996 retains jurisdiction after the constitution of Commercial Courts."
"261","Mehta Mahal Commercial Cooperative ... vs Drishti Hospitality Company Pvt. Ltd. ...","Delhi High Court","High Court","2021","2021-08-20 00:00:00","Civil Law, Commercial Law","Interim Application, Payment of Dues, Inspection of Documents","Low","Both Parties","Order regarding payment schedule and document inspection.","Interim order regarding payment of dues and inspection of documents."
"262","Jagatjeet Engineering Works Pvt. Ltd. vs Commissioner Of Commercial Tax","Punjab and Haryana High Court","High Court","2021","2021-02-23 00:00:00","Tax Law","Condonation of Delay, Tax Appeal","Low","Against Respondent","Delay condoned subject to cost.","Condonation of delay in filing an appeal against a tax order."
"263","Yashwardhan Raghuwanshi vs District And Sessions Judge","Madhya Pradesh High Court","High Court","2021","2021-02-26 00:00:00","Civil Law, Commercial Law","Commercial Courts Act, Jurisdiction, Distribution of Work","Low","Against Respondent","Petition allowed, impugned order set aside.","Jurisdiction of the District Judge and Additional District Judges to hear disputes under the Arbitration and Conciliation Act, 1996 and the Commercial Courts Act, 2015."
"264","Ratnam Sudesh Iyer vs Jackie Kakubhai Shroff","Supreme Court of India","Supreme Court","2021","2021-11-10 00:00:00","Civil Law, Commercial Law","Arbitration and Conciliation Act, Arbitration Award, Breach of Contract","Medium","Respondent","Appeal dismissed","Validity of the arbitral award and its enforcement."
"265","Arjun Ahluwalia vs Air India Limited","Delhi High Court","High Court","2021","2021-06-01 00:00:00","Labour Law, Service Law","Resignation Withdrawal, Reinstatement, Fixed Term Contract","Medium","Against Respondent","Partial relief granted.","Validity of the employer's acceptance of resignation after its withdrawal, reinstatement of permanent employees, and renewal of fixed-term contracts."
"266","Rishima Sa Investments Llc (Mauritius) vs Shristi Infrastructure Development ...","Delhi High Court","High Court","2021","2021-02-22 00:00:00","Civil Law, Commercial Law","Arbitration and Conciliation Act, Enforcement of Foreign Award, Territorial Jurisdiction","Medium","Against Respondent","Petition allowed, territorial jurisdiction established.","Territorial jurisdiction of Indian courts to enforce a foreign arbitral award."
